season,game_id,game_date,team,location,wins_entering_gm,losses_entering_gm,result,streak_win_before,streak_loss_before
2016-17,21600160,2016-11-16 00:00:00,IND,H,5,6,t,1,0
2016-17,21600160,2016-11-16 00:00:00,CLE,A,9,1,f,3,0
2016-17,21600161,2016-11-16 00:00:00,BOS,H,5,5,t,0,1
2016-17,21600161,2016-11-16 00:00:00,DAL,A,2,7,f,0,2
2016-17,21600162,2016-11-16 00:00:00,NYK,H,4,6,t,1,0
2016-17,21600162,2016-11-16 00:00:00,DET,A,6,5,f,2,0
2016-17,21600163,2016-11-16 00:00:00,ATL,H,8,2,t,5,0
2016-17,21600163,2016-11-16 00:00:00,MIL,A,5,4,f,1,0
2016-17,21600164,2016-11-16 00:00:00,OKC,H,6,5,t,0,4
2016-17,21600164,2016-11-16 00:00:00,HOU,A,6,4,f,1,0
2016-17,21600165,2016-11-16 00:00:00,TOR,H,7,3,f,0,1
2016-17,21600165,2016-11-16 00:00:00,GSW,A,8,2,t,4,0
2016-17,21600166,2016-11-16 00:00:00,DEN,H,3,7,t,0,4
2016-17,21600166,2016-11-16 00:00:00,PHX,A,3,8,f,0,2
2016-17,21600167,2016-11-16 00:00:00,LAC,H,10,1,f,7,0
2016-17,21600167,2016-11-16 00:00:00,MEM,A,5,5,t,1,0
2016-17,21600168,2016-11-16 00:00:00,SAC,H,4,7,f,0,2
2016-17,21600168,2016-11-16 00:00:00,SAS,A,8,3,t,3,0
2016-17,21600169,2016-11-17 00:00:00,WAS,H,2,8,t,0,3
2016-17,21600169,2016-11-17 00:00:00,NYK,A,5,6,f,2,0
2016-17,21600170,2016-11-17 00:00:00,MIA,H,2,8,t,0,6
2016-17,21600170,2016-11-17 00:00:00,MIL,A,5,5,f,0,1
2016-17,21600171,2016-11-17 00:00:00,HOU,H,6,5,t,0,1
2016-17,21600171,2016-11-17 00:00:00,POR,A,7,5,f,0,1
2016-17,21600172,2016-11-17 00:00:00,MIN,H,3,7,t,0,1
2016-17,21600172,2016-11-17 00:00:00,PHI,A,2,9,f,1,0
2016-17,21600173,2016-11-17 00:00:00,UTA,H,7,5,f,0,1
2016-17,21600173,2016-11-17 00:00:00,CHI,A,7,4,t,3,0
2016-17,21600174,2016-11-18 00:00:00,CHA,H,7,3,t,1,0
2016-17,21600174,2016-11-18 00:00:00,ATL,A,9,2,f,6,0
2016-17,21600175,2016-11-18 00:00:00,CLE,H,9,2,t,0,1
2016-17,21600175,2016-11-18 00:00:00,DET,A,6,6,f,0,1
2016-17,21600176,2016-11-18 00:00:00,IND,H,6,6,f,2,0
2016-17,21600176,2016-11-18 00:00:00,PHX,A,3,9,t,0,3
2016-17,21600177,2016-11-18 00:00:00,NOP,H,2,10,t,0,1
2016-17,21600177,2016-11-18 00:00:00,POR,A,7,6,f,0,2
2016-17,21600178,2016-11-18 00:00:00,OKC,H,7,5,t,1,0
2016-17,21600178,2016-11-18 00:00:00,BKN,A,4,7,f,0,2
2016-17,21600179,2016-11-18 00:00:00,BOS,H,6,5,f,1,0
2016-17,21600179,2016-11-18 00:00:00,GSW,A,9,2,t,5,0
2016-17,21600180,2016-11-18 00:00:00,DAL,H,2,8,f,0,3
2016-17,21600180,2016-11-18 00:00:00,MEM,A,6,5,t,2,0
2016-17,21600181,2016-11-18 00:00:00,DEN,H,4,7,f,1,0
2016-17,21600181,2016-11-18 00:00:00,TOR,A,7,4,t,0,2
2016-17,21600182,2016-11-18 00:00:00,LAL,H,7,5,f,1,0
2016-17,21600182,2016-11-18 00:00:00,SAS,A,9,3,t,4,0
2016-17,21600183,2016-11-18 00:00:00,SAC,H,4,8,f,0,3
2016-17,21600183,2016-11-18 00:00:00,LAC,A,10,2,t,0,1
